tipo;url_origem;url_destino
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preto/banners;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-to/banners
Folder;http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/preto/noticias;https://www-cdn.mpf.mp.br/atuacao/eleitoral/pre-to/noticias
