old_url,new_url,effective,year
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/al/sala-de-imprensa/noticias-al/mpf-recomenda-retificacao-de-edital-do-cro-al-para-garantir-reserva-de-vagas-a-negros,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-recomenda-retificacao-de-edital-do-cro-al-para-garantir-reserva-de-vagas-a-negros,2025-01-13T20:25:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pa/sala-de-imprensa/noticias-pa/mpf-e-mppa-propoem-acordo-para-que-lista-de-espera-do-sus-no-para-seja-divulgada-na-internet,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-e-mppa-propoem-acordo-para-que-lista-de-espera-do-sus-no-para-seja-divulgada-na-internet,2025-01-14T12:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/mg/sala-de-imprensa/noticias-mg/mpf-recebe-representantes-de-territorios-atingidos-para-discutir-participacao-social-no-acordo-de-mariana,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-recebe-representantes-de-territorios-atingidos-para-discutir-participacao-social-no-acordo-de-mariana,2025-01-15T11:50:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ma/sala-de-imprensa/noticias-ma/apos-acao-do-mpf-agua-doce-do-maranhao-e-bela-vista-do-maranhao-devem-regularizar-portal-da-transparencia,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/apos-acao-do-mpf-agua-doce-do-maranhao-e-bela-vista-do-maranhao-devem-regularizar-portal-da-transparencia,2025-01-15T15:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/mg/sala-de-imprensa/noticias-mg/mpf-e-mpmg-acionam-a-justica-pela-seguranca-de-pedestres-em-trechos-urbanos-da-br-050-365-em-uberlandia-mg-1,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-e-mpmg-acionam-a-justica-pela-seguranca-de-pedestres-em-trechos-urbanos-da-br-050-365-em-uberlandia-mg,2025-01-15T14:10:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/pfdc-atuou-para-promover-os-direitos-humanos-e-proteger-as-populacoes-mais-vulneraveis-em-2024,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/pfdc-atuou-para-promover-os-direitos-humanos-e-proteger-as-populacoes-mais-vulneraveis-em-2024,2025-01-15T18:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rn/sala-de-imprensa/noticias-rn/mpf-requer-vistoria-do-idema-sobre-alagamento-em-obras-da-engorda-da-praia-de-ponta-negra-rn,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-requer-vistoria-do-idema-para-apurar-alagamento-em-obras-da-engorda-da-praia-de-ponta-negra-rn,2025-01-15T16:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pfdc/noticias/pfdc-defende-alteracao-em-sumula-do-stj-que-exclui-das-cotas-de-concurso-pessoas-com-surdez-parcial,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/pfdc-defende-alteracao-em-sumula-do-stj-que-exclui-das-cotas-de-concurso-pessoas-com-surdez-parcial,2025-01-15T17:30:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/al/sala-de-imprensa/noticias-al/mpf-contesta-decreto-municipal-que-afeta-apa-costa-dos-corais-em-maragogi-al,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-contesta-decreto-municipal-que-afeta-apa-costa-dos-corais-em-maragogi-al,2025-01-16T11:25:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ac/sala-de-imprensa/noticias-ac/mpf-defende-legalidade-de-bonus-de-inclusao-regional-para-curso-de-medicina-da-universidade-federal-do-acre,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-defende-legalidade-de-bonus-de-inclusao-regional-para-curso-de-medicina-da-universidade-federal-do-acre,2025-01-16T14:50:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rr/sala-de-imprensa/noticias-rr/mpf-realiza-reunioes-estrategicas-em-roraima-para-reforcar-o-combate-ao-garimpo-ilegal,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-realiza-reunioes-estrategicas-em-roraima-para-reforcar-o-combate-ao-garimpo-ilegal,2025-01-16T16:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ac/sala-de-imprensa/noticias-ac/mpf-questiona-dnit-sobre-falhas-na-iluminacao-publica-em-rodovias-federais-que-cortam-o-acre,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-questiona-dnit-sobre-falhas-na-iluminacao-publica-em-rodovias-federais-que-cortam-o-acre,2025-01-16T14:40:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2024/interesse-publico-mostra-o-trabalho-do-mpf-pela-defesa-das-pessoas-em-situacao-de-rua-no-rio-de-janeiro,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/interesse-publico-mostra-o-trabalho-do-mpf-pela-defesa-das-pessoas-em-situacao-de-rua-no-rio-de-janeiro,2025-01-16T15:05:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/1a-camara-do-mpf-priorizou-acoes-relacionadas-a-terras-publicas-e-a-melhoria-da-educacao-basica,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/camara-de-direitos-sociais-e-fiscalizacao-de-atos-administrativos-priorizou-acoes-relacionadas-a-terras-publicas-e-educacao,2025-01-16T17:05:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/al/sala-de-imprensa/noticias-al/mpf-obtem-decisao-que-determina-cumprimento-de-tac-pelo-municipio-de-piacabucu-al,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/justica-determina-que-municipio-de-piacabucu-al-cumpra-acordo-com-o-mpf-para-defesa-de-apa,2025-01-16T17:50:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ac/sala-de-imprensa/noticias-ac/inquerito-apura-prejuizos-causados-a-pessoas-lgbtqia-pelas-mudancas-anunciadas-pela-meta,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/inquerito-apura-prejuizos-causados-a-pessoas-lgbtqia-pelas-mudancas-anunciadas-pela-meta,2025-01-16T19:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rr/sala-de-imprensa/noticias-rr/dpu-e-mpf-acionam-poder-publico-por-desativacao-repentina-de-abrigo-em-roraima,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/dpu-e-mpf-acionam-poder-publico-por-desativacao-repentina-de-abrigo-para-migrantes-venezuelanos-em-roraima,2025-01-17T10:05:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ba/sala-de-imprensa/noticias-ba/mpf-aciona-justica-para-proteger-comunidades-quilombolas-impactadas-por-mineracao-em-nordestina-ba,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-aciona-justica-para-proteger-comunidades-quilombolas-impactadas-por-mineracao-em-nordestina-ba,2025-01-17T12:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ac/sala-de-imprensa/noticias-ac/governo-do-acre-atende-recomendacao-do-mpf-e-cria-comite-para-tratar-de-trafico-de-pessoas-e-trabalho-escravo,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/governo-do-acre-atende-recomendacao-do-mpf-e-cria-comite-para-tratar-de-trafico-de-pessoas-e-trabalho-escravo,2025-01-17T14:40:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/camara-criminal-do-mpf-intensifica-combate-ao-trabalho-escravo-e-a-violencia-politica-contra-a-mulheres-em-2024-1,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/camara-criminal-do-mpf-intensifica-combate-ao-trabalho-escravo-e-a-violencia-politica-contra-a-mulher-em-2024,2025-01-17T14:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ma/sala-de-imprensa/noticias-ma/mpf-obtem-decisao-que-determina-regularizacao-de-pousada-em-barreirinhas-ma,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-obtem-decisao-que-determina-regularizacao-de-pousada-em-barreirinhas-ma,2025-01-18T07:30:24-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pa/sala-de-imprensa/noticias-pa/mpf-requisita-posicao-do-mec-sobre-modelo-de-aulas-on-line-para-comunidades-indigenas-e-tradicionais-no-para,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-requisita-posicao-do-mec-sobre-modelo-de-aulas-on-line-para-comunidades-indigenas-e-tradicionais-no-para,2025-01-17T18:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2024/encontro-nacional-reforca-atuacao-conjunta-para-protecao-do-meio-ambiente-e-do-patrimonio-cultural-brasileiro,https://www-cdn.mpf.mp.br/comunicacao/noticias/2024/encontro-nacional-reforca-atuacao-conjunta-para-protecao-do-meio-ambiente-e-do-patrimonio-cultural-brasileiro,2024-10-02T19:00:00-03:00,2024
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pa/sala-de-imprensa/noticias-pa/mpf-aciona-justica-para-obrigar-governo-do-pa-a-garantir-condicoes-humanitarias-a-indigenas-que-protestam-contra-fim-de-ensino-presencial,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-aciona-justica-para-obrigar-governo-do-pa-a-garantir-condicoes-humanitarias-a-indigenas-que-protestam-contra-fim-de-ensino-presencial,2025-01-19T18:45:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/al/sala-de-imprensa/noticias-al/justica-federal-atende-pedido-do-mpf-e-suspende-turismo-na-lagoa-azul-em-maragogi-al,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/justica-federal-atende-pedido-do-mpf-e-suspende-turismo-na-lagoa-azul-em-maragogi-al,2025-01-20T09:20:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ma/sala-de-imprensa/noticias-ma/mpf-cobra-do-estado-do-maranhao-cumprimento-de-decisao-para-recuperar-arquivo-publico-estadual,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-cobra-do-estado-do-maranhao-cumprimento-de-decisao-para-recuperar-arquivo-publico-estadual,2025-01-20T12:15:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/camara-de-consumidor-e-ordem-economica-trabalhou-para-a-melhoria-da-regulacao-em-setores-como-saude-apostas-on-line-e-inteligencia-artificial,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/camara-de-consumidor-e-ordem-economica-trabalhou-para-a-melhoria-da-regulacao-em-setores-como-saude-apostas-on-line-e-inteligencia-artificial,2025-01-20T15:50:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/me-explica-mpf-quem-fiscaliza-o-ministerio-publico-brasileiro,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/me-explica-mpf-quem-fiscaliza-o-ministerio-publico-brasileiro,2025-01-20T15:45:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/mpf-oferece-atendimento-virtual-para-cidadaos-de-todo-o-pais,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-oferece-atendimento-virtual-para-cidadaos-de-todo-o-pais,2025-01-20T16:15:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/mt/sala-de-imprensa/noticias-mt/justica-atende-mpf-e-determina-criacao-de-grupo-especial-para-atendimento-ao-povo-indigena-warao-em-cuiaba-mt,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/justica-atende-mpf-e-determina-criacao-de-grupo-especial-para-atendimento-ao-povo-indigena-warao-em-cuiaba-mt,2025-01-20T17:45:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pa/sala-de-imprensa/noticias-pa/mpf-pede-extincao-de-acao-que-busca-limitar-direitos-de-indigenas-que-ocupam-seduc-pa,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-pede-extincao-de-acao-que-busca-limitar-direitos-de-indigenas-que-ocupam-secretaria-de-educacao-do-para,2025-01-20T22:20:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ac/sala-de-imprensa/noticias-ac/mpf-participa-de-audiencia-publica-do-grupo-de-trabalho-memoria-e-verdade-lgbtqia-em-belem-do-para,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-participa-de-audiencia-publica-do-grupo-de-trabalho-memoria-e-verdade-lgbtqia-em-belem-do-para,2025-01-20T22:40:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/sp/sala-de-imprensa/noticias-sp/alvo-de-acao-do-mpf-loteamento-irregular-em-margem-de-rio-gera-condenacao-a-prefeitura-de-aparecida-sp,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/alvo-de-acao-do-mpf-loteamento-irregular-em-margem-de-rio-gera-condenacao-a-prefeitura-de-aparecida-sp,2025-01-21T11:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rj/sala-de-imprensa/noticias-rj/mpf-recomenda-prioridade-no-tombamento-do-antigo-doi-codi-no-rio-de-janeiro,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-recomenda-prioridade-no-tombamento-do-antigo-doi-codi-no-rio-de-janeiro,2025-01-21T12:55:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/rs/sala-de-imprensa/noticias-rs/apos-acordo-com-o-mpf-conselho-federal-de-odontologia-aprova-novo-regimento-eleitoral,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/apos-acordo-com-o-mpf-conselho-federal-de-odontologia-aprova-novo-regimento-eleitoral,2025-01-21T14:25:48-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/se/sala-de-imprensa/noticias-se/mpf-e-mpse-atuam-para-que-comunidades-de-terreiro-e-de-matriz-africana-sejam-incluidas-nas-comemoracoes-do-aniversario-de-aracaju,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-e-mpse-atuam-para-que-comunidades-de-terreiro-e-de-matriz-africana-sejam-incluidas-nas-comemoracoes-do-aniversario-de-aracaju,2025-01-21T15:30:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/combate-estrategico-a-crise-climatica-marca-atuacao-da-camara-de-meio-ambiente-e-patrimonio-cultural-em-2024,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/combate-estrategico-a-crise-climatica-marca-atuacao-da-camara-de-meio-ambiente-e-patrimonio-cultural-em-2024,2025-01-21T16:15:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pb/sala-de-imprensa/noticias-pb/justica-aceita-denuncia-do-mpf-por-superfaturamento-de-contratos-da-saude-em-campina-grande-na-paraiba,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/justica-aceita-denuncia-do-mpf-por-superfaturamento-de-contratos-da-saude-em-campina-grande-na-paraiba,2025-01-22T10:10:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pa/sala-de-imprensa/noticias-pa/no-mpf-2o-encontro-metropolitano-de-potmas-do-para-destaca-desafios-e-solucoes-para-efetivacao-de-direitos,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/no-mpf-2o-encontro-metropolitano-de-potmas-do-para-destaca-desafios-e-solucoes-para-efetivacao-de-direitos,2025-01-22T12:35:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/ma/sala-de-imprensa/noticias-ma/justica-atende-pedido-do-mpf-e-determina-a-ufma-que-contrate-profissional-ledor-para-garantir-acessibilidade,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/justica-atende-pedido-do-mpf-e-determina-a-ufma-que-contrate-profissional-ledor-para-garantir-acessibilidade,2025-01-22T13:25:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/pgr/noticias-pgr2/2025/camara-de-combate-a-corrupcao-investiu-em-acoes-de-inteligencia-e-trabalho-coordenado-em-todo-o-pais,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/camara-de-combate-a-corrupcao-investiu-em-acoes-de-inteligencia-e-trabalho-coordenado-em-todo-o-pais,2025-01-22T15:15:00-03:00,2025
http://svlp-plnptapp01.pgr.mpf.mp.br:8401/portal/am/sala-de-imprensa/noticias-am/mpf-obtem-decisao-que-obriga-funai-a-concluir-demarcacao-da-terra-indigena-pwarachi-kuema-kokama-am,https://www-cdn.mpf.mp.br/comunicacao/noticias/2025/mpf-obtem-decisao-que-obriga-funai-a-concluir-demarcacao-da-terra-indigena-pwarachi-kuema-kokama-am,2025-01-22T16:30:00-03:00,2025
